node	occupation	category
204	celebrity	P
205	celebrity	I
206	politician	D
207	celebrity	D
208	celebrity	P
209	politician	D
210	celebrity	P
211	politician	I
212	politician	D
213	celebrity	D
214	scientist	I
215	celebrity	P
216	celebrity	P
217	scientist	D
218	politician	D
219	politician	I
220	politician	I
221	celebrity	I
222	celebrity	P
223	politician	P
224	celebrity	P
225	celebrity	I
226	politician	D
227	scientist	P
228	scientist	P
229	politician	P
230	politician	I
231	politician	P
232	politician	P
233	politician	I
234	celebrity	P
235	celebrity	I
236	scientist	P
237	politician	I
238	scientist	I
239	scientist	I
240	politician	I
241	celebrity	I
242	celebrity	I
243	celebrity	D
244	celebrity	I
245	scientist	I
246	scientist	I
247	celebrity	D
248	politician	P
249	politician	P
250	celebrity	I
251	scientist	I
252	politician	I
253	scientist	D
254	politician	D
255	politician	P
256	politician	I
257	scientist	D
258	scientist	D
259	scientist	P
260	celebrity	I
261	celebrity	I
262	scientist	P
263	scientist	I
264	scientist	D
265	scientist	I
266	politician	P
267	scientist	I
268	celebrity	D
269	scientist	P
270	politician	P
271	celebrity	P
272	scientist	P
273	scientist	I
274	scientist	D
275	celebrity	D
276	celebrity	I
277	celebrity	P
278	politician	P
279	celebrity	I
280	scientist	I
281	celebrity	I
282	celebrity	D
283	celebrity	I
284	politician	I
285	scientist	P
286	politician	P
287	celebrity	I
288	scientist	P
289	scientist	D
290	scientist	D
291	scientist	P
292	politician	I
293	scientist	I
294	celebrity	I
295	celebrity	D
296	scientist	D
297	scientist	I
298	scientist	P
299	politician	D
300	politician	I
301	celebrity	I
302	politician	P
303	politician	P
304	celebrity	P
305	politician	I
306	scientist	D
307	celebrity	I
308	politician	P
309	scientist	P
310	politician	D
311	celebrity	I
312	celebrity	P
313	celebrity	P
314	celebrity	P
315	politician	D
316	politician	I
317	celebrity	P
318	celebrity	P
319	scientist	I
320	celebrity	D
321	celebrity	P
322	scientist	P
323	celebrity	I
324	celebrity	I
325	celebrity	D
326	celebrity	D
327	politician	I
328	politician	I
329	celebrity	D
330	celebrity	D
331	celebrity	D
332	scientist	I
333	scientist	P
334	celebrity	P
335	celebrity	I
336	scientist	D
337	scientist	I
338	politician	I
339	politician	P
340	celebrity	I
341	celebrity	I
342	scientist	P
343	celebrity	I
344	politician	P
345	scientist	P
346	politician	P
347	politician	P
348	politician	P
349	politician	D
350	celebrity	D
351	celebrity	P
352	politician	I
353	celebrity	P
354	scientist	D
355	celebrity	D
356	scientist	I
357	scientist	D
358	celebrity	P
359	celebrity	I
360	scientist	I
361	politician	P
362	politician	P
363	celebrity	I
364	celebrity	I
365	scientist	I
366	celebrity	I
367	politician	D
368	scientist	P
369	scientist	D
370	politician	I
371	scientist	I
372	scientist	I
373	celebrity	I
374	scientist	P
375	politician	P
376	scientist	P
377	scientist	I
378	scientist	P
379	politician	I
380	scientist	I
381	politician	I
382	scientist	D
383	celebrity	D
384	celebrity	D
385	scientist	D
386	politician	D
387	celebrity	P
388	politician	P
389	scientist	D
390	politician	D
391	scientist	P
392	scientist	D
393	celebrity	P
394	celebrity	I
395	celebrity	D
396	scientist	P
397	politician	P
398	celebrity	I
399	politician	D
400	politician	P
401	politician	P
402	scientist	P
403	celebrity	D
404	politician	I
405	scientist	I
406	celebrity	D
407	scientist	I
408	scientist	D
409	politician	P
410	politician	I
411	politician	P
412	scientist	I
413	scientist	I
414	scientist	I
415	celebrity	P
416	scientist	D
417	scientist	P
418	scientist	D
419	scientist	P
420	scientist	I
421	celebrity	D
422	celebrity	D
423	politician	D
424	celebrity	D
425	celebrity	P
426	scientist	P
427	scientist	I
428	politician	D
429	scientist	I
430	scientist	D
431	politician	I
432	celebrity	I
433	scientist	D
434	scientist	P
435	politician	P
436	scientist	D
437	scientist	D
438	politician	I
439	celebrity	D
440	celebrity	I
441	politician	P
442	politician	I
443	scientist	I
444	scientist	I
445	celebrity	I
446	celebrity	D
447	scientist	P
448	scientist	P
449	politician	P
450	politician	P
451	politician	I
452	celebrity	I
453	celebrity	I
454	scientist	P
455	celebrity	P
456	scientist	P
457	politician	D
458	celebrity	D
459	scientist	I
460	scientist	P
461	scientist	D
462	celebrity	D
463	politician	P
464	politician	I
465	celebrity	D
466	celebrity	I
467	politician	P
468	scientist	P
469	celebrity	I
470	politician	D
471	celebrity	I
472	scientist	P
473	celebrity	I
474	scientist	P
475	celebrity	P
476	scientist	P
477	scientist	P
478	politician	D
479	scientist	P
480	scientist	P
481	politician	P
482	scientist	P
483	politician	D
484	celebrity	D
485	celebrity	I
486	celebrity	P
487	celebrity	I
488	politician	I
489	scientist	P
490	scientist	I
491	politician	P
492	scientist	P
493	scientist	I
494	celebrity	I
495	scientist	I
496	scientist	I
497	politician	D
498	scientist	P
499	politician	D
500	politician	D
501	politician	I
502	scientist	P
503	politician	I
504	celebrity	I
505	politician	I
506	scientist	D
507	celebrity	I
508	celebrity	D
509	politician	P
510	scientist	P
511	celebrity	I
512	politician	I
513	celebrity	P
514	celebrity	I
515	politician	I
516	celebrity	P
517	scientist	I
518	politician	I
519	celebrity	I
520	politician	P
521	politician	D
522	politician	I
523	politician	I
524	celebrity	P
525	celebrity	D
526	celebrity	D
527	scientist	D
528	politician	D
529	scientist	I
530	scientist	I
531	celebrity	D
532	scientist	P
533	politician	D
534	scientist	D
535	politician	D
536	celebrity	P
537	celebrity	D
538	celebrity	P
539	scientist	I
540	scientist	D
541	scientist	D
542	celebrity	I
543	scientist	I
544	celebrity	P
545	scientist	I
546	politician	I
547	politician	P
548	celebrity	I
549	politician	I
550	politician	P
551	politician	I
552	politician	I
553	politician	D
554	scientist	P
555	politician	P
556	celebrity	I
557	celebrity	D
558	scientist	D
559	celebrity	D
560	celebrity	D
561	politician	D
562	politician	I
563	politician	P
564	scientist	D
565	celebrity	P
566	celebrity	D
567	scientist	P
568	celebrity	D
569	scientist	P
570	scientist	P
571	politician	D
572	politician	D
573	celebrity	D
574	celebrity	D
575	celebrity	I
576	scientist	D
577	politician	D
578	scientist	D
579	celebrity	D
580	scientist	D
581	scientist	D
582	scientist	I
583	politician	P
584	scientist	P
585	politician	P
586	politician	D
587	celebrity	I
588	celebrity	D
589	celebrity	D
590	scientist	P
591	politician	D
592	politician	P
593	politician	P
594	politician	P
595	celebrity	I
596	celebrity	D
597	celebrity	I
598	politician	D
599	scientist	D
600	celebrity	P
601	politician	P
602	celebrity	P
603	politician	D
604	celebrity	D
605	celebrity	P
606	celebrity	P
607	celebrity	P
608	scientist	D
609	scientist	P
610	politician	I
611	scientist	P
612	celebrity	I
613	politician	I
614	scientist	I
615	scientist	D
616	celebrity	D
617	politician	I
618	politician	D
619	scientist	I
620	scientist	D
621	celebrity	D
622	politician	I
623	scientist	P
624	politician	P
625	celebrity	I
626	politician	I
627	scientist	P
628	scientist	I
629	scientist	I
630	politician	I
631	celebrity	I
632	scientist	I
633	scientist	P
634	celebrity	I
635	politician	D
636	scientist	I
637	scientist	D
638	scientist	P
639	celebrity	I
640	scientist	D
641	politician	I
642	scientist	I
643	celebrity	P
644	scientist	P
645	scientist	I
646	politician	P
647	politician	I
648	politician	D
649	scientist	D
650	celebrity	I
651	scientist	D
652	celebrity	P
653	celebrity	D
654	celebrity	I
655	scientist	I
656	scientist	P
657	scientist	I
658	politician	I
659	celebrity	D
660	politician	I
661	celebrity	D
662	celebrity	D
663	politician	P
664	scientist	D
665	scientist	P
666	celebrity	P
667	celebrity	P
668	scientist	I
669	celebrity	D
670	politician	I
671	celebrity	I
672	scientist	P
673	scientist	I
674	scientist	I
675	politician	P
676	celebrity	P
677	politician	I
678	politician	D
679	scientist	I
680	scientist	P
681	scientist	P
682	politician	P
683	politician	D
684	celebrity	I
685	scientist	P
686	politician	D
687	scientist	P
688	scientist	D
689	celebrity	P
690	celebrity	P
691	politician	D
692	celebrity	D
693	scientist	I
694	politician	P
695	scientist	D
696	celebrity	I
697	politician	P
698	celebrity	D
699	scientist	D
700	politician	I
701	scientist	D
702	politician	I
703	scientist	P
704	politician	P
705	scientist	P
706	scientist	P
707	celebrity	D
708	scientist	D
709	celebrity	P
710	scientist	P
711	politician	I
712	politician	D
713	scientist	D
714	celebrity	I
715	politician	P
716	scientist	P
717	politician	D
718	celebrity	D
719	celebrity	D
720	scientist	P
721	scientist	I
722	scientist	I
723	politician	P
724	scientist	P
725	celebrity	P
726	celebrity	D
727	celebrity	I
728	scientist	D
729	politician	I
730	celebrity	D
731	politician	I
732	politician	D
733	celebrity	I
734	celebrity	D
735	politician	D
736	scientist	P
737	scientist	I
738	celebrity	I
739	politician	D
740	politician	I
741	celebrity	P
742	politician	D
743	politician	I
744	celebrity	I
745	politician	I
746	politician	I
747	politician	P
748	politician	P
749	scientist	P
750	celebrity	I
751	politician	P
752	scientist	I
753	celebrity	D
754	scientist	D
755	scientist	I
756	scientist	D
757	celebrity	D
758	scientist	D
759	scientist	P
760	scientist	I
761	scientist	I
762	celebrity	D
763	politician	P
764	scientist	D
765	politician	P
766	scientist	I
767	politician	P
768	politician	I
769	scientist	P
770	scientist	P
771	scientist	I
772	scientist	D
773	scientist	P
774	scientist	I
775	politician	P
776	scientist	I
777	scientist	P
778	politician	D
779	politician	I
780	politician	D
781	scientist	P
782	scientist	I
783	politician	P
784	politician	I
785	celebrity	I
786	politician	D
787	celebrity	D
788	celebrity	I
789	scientist	I
790	politician	P
791	scientist	D
792	scientist	I
793	scientist	I
794	celebrity	D
795	celebrity	P
796	scientist	P
797	celebrity	I
798	scientist	P
799	politician	D
800	celebrity	D
801	scientist	P
802	politician	P
803	scientist	P
804	celebrity	P
805	politician	D
806	scientist	I
807	celebrity	D
808	politician	P
809	celebrity	D
810	scientist	P
811	celebrity	D
812	celebrity	P
813	politician	D
814	celebrity	P
815	celebrity	I
816	politician	I
817	politician	D
818	scientist	I
819	politician	D
820	celebrity	P
821	scientist	D
822	politician	D
823	celebrity	I
824	scientist	D
825	celebrity	P
826	scientist	P
827	politician	I
828	celebrity	D
829	celebrity	I
830	politician	I
831	politician	P
832	celebrity	D
833	politician	D
834	scientist	I
835	scientist	D
836	politician	P
837	celebrity	I
838	scientist	I
839	scientist	D
840	politician	D
841	celebrity	P
842	politician	P
843	politician	I
844	scientist	D
845	scientist	D
846	scientist	I
847	scientist	D
848	celebrity	D
849	politician	D
850	politician	D
851	politician	P
852	politician	I
853	politician	I
854	politician	P
855	celebrity	D
856	scientist	D
857	politician	I
858	politician	I
859	scientist	I
860	scientist	I
861	scientist	P
862	celebrity	P
863	politician	D
864	politician	D
865	scientist	I
866	politician	I
867	scientist	D
868	celebrity	I
869	scientist	I
870	scientist	D
871	celebrity	I
872	celebrity	D
873	politician	I
874	scientist	I
875	celebrity	I
876	scientist	I
877	scientist	P
878	scientist	I
879	politician	I
880	celebrity	D
881	scientist	P
882	scientist	P
883	celebrity	D
884	politician	D
885	celebrity	D
886	scientist	I
887	politician	I
888	politician	P
889	politician	D
890	politician	I
891	celebrity	D
892	celebrity	P
893	politician	P
894	politician	P
895	scientist	D
896	celebrity	I
897	politician	P
898	scientist	P
899	politician	P
900	celebrity	P
901	scientist	I
902	politician	P
903	celebrity	D
904	scientist	D
905	scientist	I
906	politician	D
907	celebrity	D
908	scientist	I
909	politician	D
910	politician	I
911	scientist	D
912	scientist	P
913	politician	P
914	celebrity	I
915	celebrity	I
916	scientist	I
917	celebrity	P
918	politician	I
919	scientist	P
920	celebrity	P
921	politician	I
922	scientist	P
923	celebrity	D
924	politician	D
925	scientist	P
926	scientist	I
927	celebrity	D
928	politician	P
929	scientist	D
930	celebrity	D
931	scientist	P
932	celebrity	P
933	celebrity	D
934	celebrity	I
935	politician	I
936	scientist	P
937	celebrity	I
938	politician	P
939	scientist	D
940	politician	P
941	celebrity	I
942	politician	I
943	politician	D
944	celebrity	D
945	scientist	P
946	politician	D
947	politician	D
948	scientist	D
949	celebrity	I
950	celebrity	P
951	politician	I
952	celebrity	P
953	scientist	D
954	scientist	I
955	politician	I
956	politician	P
957	politician	I
958	celebrity	P
959	celebrity	P
960	politician	D
961	celebrity	I
962	scientist	I
963	celebrity	P
964	celebrity	P
965	celebrity	P
966	politician	I
967	scientist	D
968	scientist	I
969	celebrity	D
970	celebrity	I
971	scientist	I
972	celebrity	I
973	celebrity	P
974	celebrity	I
975	scientist	I
976	scientist	P
977	scientist	I
978	celebrity	P
979	scientist	D
980	celebrity	P
981	scientist	D
982	politician	D
983	scientist	I
984	scientist	D
985	celebrity	P
986	celebrity	D
987	scientist	P
988	scientist	P
989	scientist	D
990	celebrity	P
991	celebrity	D
992	celebrity	I
993	celebrity	D
994	politician	I
995	politician	P
996	scientist	I
997	scientist	I
998	politician	D
999	scientist	P
1000	celebrity	I
1001	scientist	I
1002	celebrity	D
1003	scientist	D
1004	scientist	I
1005	politician	I
1006	politician	D
1007	celebrity	D
1008	scientist	I
1009	celebrity	D
1010	scientist	D
1011	politician	P
1012	celebrity	I
1013	scientist	D
1014	celebrity	P
1015	celebrity	P
1016	politician	P
1017	celebrity	D
1018	scientist	P
1019	celebrity	I
1020	scientist	P
1021	celebrity	P
1022	scientist	I
1023	scientist	I
1024	scientist	P
1025	scientist	I
1026	politician	P
1027	politician	D
1028	celebrity	P
1029	celebrity	P
1030	politician	I
1031	celebrity	I
1032	scientist	P
1033	politician	D
1034	politician	D
1035	scientist	P
1036	scientist	I
1037	celebrity	P
1038	scientist	P
1039	politician	I
1040	politician	I
1041	celebrity	I
1042	scientist	P
1043	politician	P
1044	scientist	P
1045	celebrity	I
1046	celebrity	D
1047	politician	I
1048	celebrity	D
1049	celebrity	P
1050	scientist	D
1051	scientist	P
1052	politician	P
1053	celebrity	D
1054	politician	P
1055	politician	P
1056	politician	I
1057	celebrity	D
1058	celebrity	I
1059	scientist	D
1060	politician	I
1061	politician	D
1062	politician	D
1063	celebrity	I
1064	scientist	I
1065	politician	P
1066	scientist	D
1067	celebrity	D
1068	scientist	P
1069	politician	I
1070	scientist	D
1071	celebrity	D
1072	celebrity	D
1073	politician	D
1074	scientist	D
1075	celebrity	P
1076	celebrity	I
1077	scientist	P
1078	celebrity	I
1079	scientist	D
1080	celebrity	P
1081	politician	I
1082	celebrity	P
1083	celebrity	D
1084	scientist	I
1085	scientist	P
1086	scientist	I
1087	scientist	I
1088	scientist	P
1089	scientist	P
1090	scientist	P
1091	politician	D
1092	scientist	D
1093	scientist	I
1094	celebrity	I
1095	celebrity	I
1096	scientist	D
1097	politician	I
1098	scientist	D
1099	scientist	D
1100	celebrity	I
1101	scientist	I
1102	politician	I
1103	celebrity	P
1104	politician	P
1105	scientist	D
1106	celebrity	P
1107	celebrity	P
1108	celebrity	P
1109	scientist	I
1110	celebrity	D
1111	politician	D
1112	politician	P
1113	celebrity	I
1114	politician	D
1115	celebrity	I
1116	scientist	I
1117	celebrity	I
1118	celebrity	D
1119	politician	P
1120	politician	D
1121	scientist	D
1122	scientist	P
1123	scientist	D
1124	scientist	P
1125	scientist	P
1126	scientist	I
1127	politician	I
1128	scientist	D
1129	scientist	D
1130	scientist	D
1131	politician	P
1132	celebrity	P
1133	celebrity	P
1134	politician	D
1135	scientist	I
1136	scientist	I
1137	politician	D
1138	celebrity	P
1139	celebrity	D
1140	politician	I
1141	scientist	P
1142	celebrity	D
1143	politician	P
1144	politician	P
1145	celebrity	I
1146	politician	D
1147	politician	D
1148	celebrity	D
1149	celebrity	I
1150	politician	P
1151	scientist	P
1152	scientist	I
1153	scientist	P
1154	celebrity	D
1155	celebrity	P
1156	scientist	D
1157	politician	I
1158	scientist	P
1159	celebrity	D
1160	politician	D
1161	celebrity	I
1162	scientist	P
1163	scientist	P
1164	politician	I
1165	scientist	I
1166	politician	D
1167	scientist	I
1168	scientist	P
1169	politician	P
1170	politician	P
1171	politician	D
1172	politician	P
1173	politician	P
1174	scientist	D
1175	celebrity	P
1176	celebrity	P
1177	celebrity	I
1178	celebrity	D
1179	celebrity	P
1180	celebrity	I
1181	politician	P
1182	scientist	I
1183	celebrity	I
1184	scientist	P
1185	scientist	I
1186	scientist	I
1187	scientist	D
1188	celebrity	P
1189	scientist	P
1190	celebrity	D
1191	celebrity	P
1192	celebrity	P
1193	politician	I
1194	scientist	P
1195	celebrity	D
1196	politician	P
1197	scientist	P
1198	politician	I
1199	celebrity	D
1200	celebrity	D
1201	celebrity	I
1202	scientist	D
1203	celebrity	P
1204	scientist	P
1205	scientist	I
1206	celebrity	D
1207	celebrity	P
1208	politician	D
1209	politician	D
1210	celebrity	D
1211	politician	I
1212	politician	D
1213	scientist	P
1214	politician	D
1215	politician	D
1216	politician	P
1217	celebrity	I
1218	scientist	D
1219	scientist	P
1220	politician	P
1221	celebrity	D
1222	scientist	D
1223	celebrity	I
1224	scientist	P
1225	celebrity	P
1226	celebrity	I
1227	politician	I
1228	politician	I
1229	politician	I
1230	politician	D
1231	scientist	D
1232	scientist	I
1233	politician	P
1234	celebrity	P
1235	scientist	P
1236	scientist	P
1237	celebrity	D
1238	celebrity	P
1239	scientist	D
1240	scientist	P
1241	politician	I
1242	scientist	I
1243	celebrity	D
1244	politician	P
1245	scientist	I
1246	scientist	P
1247	politician	P
1248	celebrity	D
1249	politician	I
1250	celebrity	P
1251	scientist	I
1252	politician	I
1253	scientist	I
1254	politician	D
1255	celebrity	D
1256	politician	I
1257	politician	D
1258	celebrity	I
1259	politician	P
1260	celebrity	D
1261	scientist	D
1262	celebrity	P
1263	politician	I
1264	scientist	D
1265	celebrity	D
1266	scientist	I
1267	celebrity	D
1268	politician	D
1269	politician	D
1270	scientist	D
1271	celebrity	P
1272	politician	I
1273	scientist	I
1274	scientist	P
1275	politician	I
1276	celebrity	P
1277	scientist	P
1278	politician	I
1279	politician	I
1280	politician	P
1281	scientist	P
1282	politician	I
1283	politician	P
1284	scientist	D
1285	celebrity	I
1286	scientist	I
1287	politician	I
1288	scientist	D
1289	scientist	D
1290	celebrity	P
1291	politician	I
1292	scientist	D
1293	celebrity	I
1294	politician	I
1295	celebrity	D
1296	scientist	D
1297	politician	D
1298	scientist	I
1299	politician	I
1300	scientist	P
1301	politician	I
1302	politician	P
1303	scientist	I
1304	politician	D
1305	celebrity	P
1306	politician	I
1307	celebrity	I
1308	scientist	P
1309	celebrity	P
1310	politician	D
1311	scientist	I
1312	politician	P
1313	politician	I
1314	politician	I
1315	celebrity	P
1316	politician	I
1317	celebrity	I
1318	scientist	P
1319	politician	P
1320	scientist	I
1321	celebrity	P
1322	celebrity	I
1323	scientist	P
1324	politician	D
1325	scientist	I
1326	scientist	D
1327	scientist	D
1328	celebrity	D
1329	celebrity	P
1330	scientist	P
1331	celebrity	D
1332	celebrity	D
1333	celebrity	D
1334	politician	I
1335	scientist	I
1336	politician	I
1337	scientist	D
1338	politician	P
1339	politician	I
1340	politician	P
1341	scientist	I
1342	politician	P
1343	scientist	I
1344	scientist	D
1345	scientist	I
1346	scientist	I
1347	scientist	I
1348	celebrity	P
1349	politician	D
1350	celebrity	I
1351	celebrity	D
1352	politician	P
1353	scientist	I
1354	celebrity	P
1355	politician	D
1356	scientist	D
1357	politician	D
1358	celebrity	I
1359	politician	P
1360	scientist	D
1361	scientist	P
1362	celebrity	P
1363	scientist	I
1364	celebrity	D
1365	scientist	P
1366	celebrity	P
1367	politician	D
1368	politician	D
1369	politician	P
1370	politician	P
1371	scientist	I
1372	scientist	D
1373	scientist	D
1374	scientist	D
1375	politician	D
1376	celebrity	I
1377	celebrity	I
1378	scientist	D
1379	scientist	D
1380	celebrity	I
1381	scientist	I
1382	politician	I
1383	celebrity	I
1384	celebrity	D
1385	scientist	D
1386	scientist	I
1387	celebrity	P
1388	scientist	D
1389	politician	P
1390	scientist	I
1391	scientist	I
1392	scientist	P
1393	politician	D
1394	politician	I
1395	scientist	P
1396	celebrity	I
1397	politician	P
1398	scientist	I
1399	scientist	D
1400	politician	P
1401	politician	I
1402	politician	P
1403	scientist	I
1404	celebrity	I
1405	politician	P
1406	politician	D
1407	scientist	P
1408	celebrity	I
1409	politician	P
1410	scientist	I
1411	politician	P
1412	scientist	I
1413	politician	I
1414	politician	I
1415	politician	I
1416	celebrity	D
1417	scientist	D
1418	politician	P
1419	scientist	D
1420	scientist	P
1421	scientist	D
1422	politician	D
1423	politician	I
1424	celebrity	I
1425	celebrity	D
1426	politician	P
1427	scientist	I
1428	scientist	D
1429	scientist	P
1430	celebrity	D
1431	politician	D
1432	celebrity	I
1433	politician	D
1434	scientist	D
1435	celebrity	I
1436	politician	D
1437	scientist	P
1438	politician	D
1439	scientist	I
1440	scientist	D
1441	scientist	P
1442	scientist	I
1443	scientist	I
1444	celebrity	P
1445	celebrity	I
1446	politician	D
1447	scientist	D
1448	celebrity	I
1449	celebrity	I
1450	scientist	I
1451	celebrity	D
1452	celebrity	D
1453	scientist	I
1454	politician	D
1455	celebrity	D
1456	politician	P
1457	politician	D
1458	scientist	D
1459	politician	P
1460	celebrity	D
1461	celebrity	D
1462	politician	D
1463	politician	I
1464	politician	I
1465	celebrity	D
1466	politician	P
1467	politician	P
1468	scientist	I
1469	politician	D
1470	politician	I
1471	scientist	P
1472	politician	I
1473	scientist	P
1474	politician	P
1475	scientist	D
1476	celebrity	P
1477	scientist	D
1478	politician	D
1479	scientist	D
1480	politician	I
1481	celebrity	I
1482	scientist	I
1483	politician	D
1484	celebrity	P
1485	politician	P
1486	politician	D
1487	celebrity	D
1488	scientist	P
1489	scientist	D
1490	scientist	I
1491	scientist	P
1492	celebrity	I
1493	politician	I
1494	politician	P
1495	scientist	D
1496	politician	I
1497	scientist	D
1498	politician	P
1499	celebrity	D
1500	scientist	I
1501	celebrity	P
1502	scientist	D
1503	politician	D
1504	politician	D
1505	celebrity	I
1506	politician	D
1507	scientist	D
1508	celebrity	D
1509	scientist	P
1510	politician	I
1511	celebrity	P
1512	politician	P
1513	celebrity	P
1514	scientist	P
1515	celebrity	I
1516	politician	I
1517	celebrity	I
1518	scientist	I
1519	politician	I
1520	celebrity	I
1521	celebrity	P
1522	celebrity	P
1523	politician	P
1524	celebrity	D
1525	politician	D
1526	politician	I
1527	celebrity	D
1528	scientist	D
1529	politician	P
1530	celebrity	I
1531	celebrity	I
1532	scientist	P
1533	politician	P
1534	celebrity	D
1535	politician	D
1536	politician	P
1537	scientist	I
1538	scientist	P
1539	politician	P
1540	scientist	P
1541	celebrity	D
1542	scientist	D
1543	scientist	I
1544	politician	I
1545	scientist	D
1546	celebrity	I
1547	scientist	I
1548	celebrity	P
1549	politician	I
1550	celebrity	P
1551	celebrity	I
1552	celebrity	P
1553	scientist	D
1554	scientist	P
1555	celebrity	P
1556	celebrity	D
1557	celebrity	P
1558	politician	P
1559	scientist	P
1560	politician	P
1561	celebrity	D
1562	politician	I
1563	celebrity	P
1564	scientist	I
1565	scientist	I
1566	celebrity	P
1567	politician	D
1568	celebrity	D
1569	politician	I
1570	celebrity	P
1571	politician	D
1572	celebrity	P
1573	politician	D
1574	celebrity	D
1575	politician	P
1576	politician	D
1577	scientist	I
1578	politician	I
1579	politician	I
1580	politician	I
1581	scientist	D
1582	celebrity	I
1583	celebrity	P
1584	politician	P
1585	politician	P
1586	scientist	I
1587	celebrity	I
1588	politician	P
1589	celebrity	D
1590	celebrity	I
1591	politician	I
1592	politician	I
1593	scientist	I
1594	celebrity	I
1595	scientist	I
1596	politician	P
1597	scientist	P
1598	politician	D
1599	celebrity	D
1600	celebrity	I
1601	scientist	D
1602	celebrity	P
1603	scientist	I
1604	politician	P
1605	celebrity	D
1606	scientist	I
1607	scientist	P
1608	celebrity	I
1609	scientist	I
1610	celebrity	P
1611	celebrity	D
1612	celebrity	I
1613	scientist	P
1614	celebrity	I
1615	celebrity	D
1616	politician	I
1617	celebrity	I
1618	celebrity	D
1619	politician	I
1620	politician	I
1621	scientist	I
1622	scientist	I
1623	scientist	D
1624	scientist	I
1625	celebrity	D
1626	celebrity	D
1627	celebrity	P
1628	celebrity	I
1629	politician	P
1630	celebrity	P
1631	scientist	D
1632	politician	D
1633	scientist	I
1634	politician	I
1635	scientist	I
1636	celebrity	P
1637	politician	I
1638	scientist	P
1639	politician	P
1640	celebrity	I
1641	celebrity	I
1642	politician	I
1643	scientist	I
1644	celebrity	D
1645	celebrity	D
1646	scientist	P
1647	celebrity	D
1648	celebrity	I
1649	politician	P
1650	politician	D
1651	celebrity	P
1652	celebrity	D
1653	celebrity	I
1654	scientist	D
1655	celebrity	I
1656	celebrity	P
1657	scientist	I
1658	celebrity	P
1659	celebrity	I
1660	politician	D
1661	celebrity	P
1662	celebrity	D
1663	scientist	I
